Current Time,LN2 reader Date,LN2 reader Time,N2 level (current units),N2 level measurement period (micro-s),Sys Local Control lock,Display N2/He,"Level Units (%,cm,in)",Level B % (lower limit when to start auto-refill),Level A % (upper limit)
16:35:34,"['2023', ' 09', ' 26']","['16', ' 35', ' 23']",['55.822'],['94.712'],['0'],['1'],['%'],50.000,90.000
16:35:45,"['2023', ' 09', ' 26']","['16', ' 35', ' 34']",['55.828'],['94.713'],['0'],['1'],['%'],50.000,90.000
16:35:56,"['2023', ' 09', ' 26']","['16', ' 35', ' 45']",['55.811'],['94.713'],['0'],['1'],['%'],50.000,90.000
16:36:06,"['2023', ' 09', ' 26']","['16', ' 35', ' 55']",['55.805'],['94.713'],['0'],['1'],['%'],50.000,90.000
16:36:17,"['2023', ' 09', ' 26']","['16', ' 36', ' 06']",['55.806'],['94.712'],['0'],['1'],['%'],50.000,90.000
16:36:27,"['2023', ' 09', ' 26']","['16', ' 36', ' 17']",['55.799'],['94.711'],['0'],['1'],['%'],50.000,90.000
16:36:38,"['2023', ' 09', ' 26']","['16', ' 36', ' 27']",['55.781'],['94.712'],['0'],['1'],['%'],50.000,90.000
16:36:49,"['2023', ' 09', ' 26']","['16', ' 36', ' 38']",['55.781'],['94.711'],['0'],['1'],['%'],50.000,90.000
16:36:59,"['2023', ' 09', ' 26']","['16', ' 36', ' 48']",['55.772'],['94.712'],['0'],['1'],['%'],50.000,90.000
16:37:10,"['2023', ' 09', ' 26']","['16', ' 36', ' 59']",['55.800'],['94.713'],['0'],['1'],['%'],50.000,90.000
16:37:21,"['2023', ' 09', ' 26']","['16', ' 37', ' 10']",['55.773'],['94.711'],['0'],['1'],['%'],50.000,90.000
16:37:31,"['2023', ' 09', ' 26']","['16', ' 37', ' 20']",['55.780'],['94.711'],['0'],['1'],['%'],50.000,90.000
16:37:42,"['2023', ' 09', ' 26']","['16', ' 37', ' 31']",['55.748'],['94.710'],['0'],['1'],['%'],50.000,90.000
16:37:52,"['2023', ' 09', ' 26']","['16', ' 37', ' 42']",['55.746'],['94.710'],['0'],['1'],['%'],50.000,90.000
16:38:03,"['2023', ' 09', ' 26']","['16', ' 37', ' 52']",['55.748'],['94.710'],['0'],['1'],['%'],50.000,90.000
16:38:14,"['2023', ' 09', ' 26']","['16', ' 38', ' 03']",['55.733'],['94.709'],['0'],['1'],['%'],50.000,90.000
16:38:24,"['2023', ' 09', ' 26']","['16', ' 38', ' 13']",['55.730'],['94.709'],['0'],['1'],['%'],50.000,90.000
16:38:35,"['2023', ' 09', ' 26']","['16', ' 38', ' 24']",['55.725'],['94.709'],['0'],['1'],['%'],50.000,90.000
16:38:45,"['2023', ' 09', ' 26']","['16', ' 38', ' 35']",['55.723'],['94.709'],['0'],['1'],['%'],50.000,90.000
16:38:56,"['2023', ' 09', ' 26']","['16', ' 38', ' 45']",['55.718'],['94.709'],['0'],['1'],['%'],50.000,90.000
16:39:07,"['2023', ' 09', ' 26']","['16', ' 38', ' 56']",['55.711'],['94.708'],['0'],['1'],['%'],50.000,90.000
16:39:17,"['2023', ' 09', ' 26']","['16', ' 39', ' 07']",['55.682'],['94.707'],['0'],['1'],['%'],50.000,90.000
16:39:28,"['2023', ' 09', ' 26']","['16', ' 39', ' 17']",['55.681'],['94.708'],['0'],['1'],['%'],50.000,90.000
16:39:39,"['2023', ' 09', ' 26']","['16', ' 39', ' 28']",['55.674'],['94.707'],['0'],['1'],['%'],50.000,90.000
16:39:49,"['2023', ' 09', ' 26']","['16', ' 39', ' 38']",['55.687'],['94.707'],['0'],['1'],['%'],50.000,90.000
16:40:00,"['2023', ' 09', ' 26']","['16', ' 39', ' 49']",['55.665'],['94.706'],['0'],['1'],['%'],50.000,90.000
16:40:10,"['2023', ' 09', ' 26']","['16', ' 40', ' 00']",['55.664'],['94.706'],['0'],['1'],['%'],50.000,90.000
16:40:21,"['2023', ' 09', ' 26']","['16', ' 40', ' 10']",['55.665'],['94.706'],['0'],['1'],['%'],50.000,90.000
16:40:32,"['2023', ' 09', ' 26']","['16', ' 40', ' 21']",['55.646'],['94.706'],['0'],['1'],['%'],50.000,90.000
16:40:42,"['2023', ' 09', ' 26']","['16', ' 40', ' 32']",['55.649'],['94.706'],['0'],['1'],['%'],50.000,90.000
16:40:53,"['2023', ' 09', ' 26']","['16', ' 40', ' 42']",['55.641'],['94.706'],['0'],['1'],['%'],50.000,90.000
16:41:04,"['2023', ' 09', ' 26']","['16', ' 40', ' 53']",['55.638'],['94.706'],['0'],['1'],['%'],50.000,90.000
16:41:14,"['2023', ' 09', ' 26']","['16', ' 41', ' 03']",['55.629'],['94.705'],['0'],['1'],['%'],50.000,90.000
